A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
53972506.18695759,0.0,13430583.000484392,0.010718341815868445,69827752.46626562,0.10323904175464554,2184279.04635131,0.0009817498400234962,823456912.2568872,0.585024049346522,253800000.0,0.0
53972506.18695759,0.0,22961234.412030455,0.019836312461871973,115577431.02083388,0.18453886329668817,134417797.8911313,0.05282757339309084,0.0,0.0,253800000.0,0.0
53972506.18695759,0.0,105634393.29767823,0.12060165699394718,169307522.68358886,0.3631175959921871,0.0,0.0,0.0,0.0,253800000.0,0.0
53972506.18695759,0.0,9234044.126278412,0.010894256857689185,51128068.91806748,0.11121463234930323,4328371.19456454,0.0028065725365675133,105988320.78995107,0.11528977066272014,253800000.0,0.0
53972506.18695759,0.0,108168861.03241545,0.1203577695832134,54762614.72858038,0.1171228486258135,0.0,0.0,26828118.83341015,0.028890780909248504,253800000.0,0.0
53972506.18695759,0.0,17857453.31300197,0.015697034233995797,67535682.50928672,0.11053529837583805,112698235.88457698,0.045731514317083596,0.0,0.0,253800000.0,0.0
53972506.18695759,0.0,724623913.3783915,0.847456849611382,0.0,0.0,0.0,0.0,0.0,0.0,253800000.0,0.0
53972506.18695759,0.0,33964103.73674949,0.03127507444452102,0.0,0.0,13325265.986029457,0.0066231525882703085,0.0,0.0,253800000.0,0.0
53972506.18695759,0.0,14245954.998166552,0.01554921505862952,50488280.891584784,0.10290676872324714,28693935.536076948,0.015568885076161894,0.0,0.0,253800000.0,0.0
53972506.18695759,0.0,25827821.38068588,0.025522262608033825,19767776.88636655,0.036578800731644774,53762848.28739287,0.025981737896193714,549718050.0821688,0.4858121715728444,253800000.0,0.0
53972506.18695759,0.0,644237605.3952224,0.6181714814993652,0.0,0.0,0.0,0.0,0.0,0.0,253800000.0,0.0
53972506.18695759,0.0,11113157.458320566,0.010881743677885369,2127577923.2334678,3.507926028797085,0.0,0.0,0.0,0.0,253800000.0,0.0
53972506.18695759,0.0,19641356.467457168,0.0201565485950094,2031990121.6879623,3.548258345742308,0.0,0.0,0.0,0.0,253800000.0,0.0
53972506.18695759,0.0,340414656.10052264,0.26991346703168423,0.0,0.0,0.0,0.0,649046665.2625048,0.4857685622000678,253800000.0,0.0
53972506.18695759,0.0,78569362.61629015,0.08182144659178586,383227544.4551705,0.7408827544549854,127801344.92210521,0.06046293869026602,9993546.393679913,0.009524780379157518,253800000.0,0.0
53972506.18695759,0.0,203312195.8877607,0.19788589353440447,260275134.09691292,0.4841973739602622,128379899.91511485,0.05823121957148244,0.0,0.0,253800000.0,0.0
53972506.18695759,0.0,897203402.6528989,0.8526174428460163,1748720341.1279666,3.158281403198021,0.0,0.0,0.0,0.0,253800000.0,0.0
53972506.18695759,0.0,350064562.96358365,0.3411386500803148,0.0,0.0,0.0,0.0,0.0,0.0,253800000.0,0.0
53972506.18695759,0.0,61317781.53388353,0.049848086649352086,58248816.7007223,0.09044957244315993,944003.203392207,0.0004336000352781227,33427941.285271164,0.02590930888287439,253800000.0,0.0
53972506.18695759,0.0,21740895.10203773,0.020180640831378594,448246028.0159296,0.7457133867145135,0.0,0.0,8571448.572456317,0.007169183005650883,253800000.0,0.0
53972506.18695759,0.0,40704425.68247673,0.03417904511067829,79452889.32544443,0.12433972704662986,172221247.54506868,0.06563124068502342,0.0,0.0,253800000.0,0.0
53972506.18695759,0.0,29013601.515688844,0.03329913143504493,85557101.2745514,0.1832930926163127,73823525.22628936,0.039892139216651176,841730026.1431803,0.8362178809923969,253800000.0,0.0
53972506.18695759,0.0,4816314.070045965,0.006213510554489522,868649046.2495494,1.9287112426573736,3577848.410993742,0.002097941800556622,0.0,0.0,253800000.0,0.0
53972506.18695759,0.0,114548173.52432767,0.11952662774635132,53599161.914988846,0.10623276233695661,17232388.342674572,0.008825089712517194,0.0,0.0,253800000.0,0.0
53972506.18695759,0.0,68946403.04308763,0.06937500596782967,130574428.2427895,0.24609972778338063,0.0,0.0,257428422.09174347,0.2441234444666433,253800000.0,0.0
53972506.18695759,0.0,85413077.08534452,0.1175349492144827,0.0,0.0,0.0,0.0,0.0,0.0,253800000.0,0.0
53972506.18695759,0.0,438110214.72190654,0.4842544806584867,315860267.1233384,0.6739506387133616,0.0,0.0,0.0,0.0,253800000.0,0.0
53972506.18695759,0.0,98830822.87275457,0.11948604636436289,4516314.501549539,0.010520870533952776,0.0,0.0,0.0,0.0,253800000.0,0.0
53972506.18695759,0.0,25555352.44045355,0.0365176087000674,165679930.64685506,0.43696598250017665,0.0,0.0,0.0,0.0,253800000.0,0.0
53972506.18695759,0.0,263035524.0501285,0.24011106122040074,0.0,0.0,0.0,0.0,0.0,0.0,253800000.0,0.0
53972506.18695759,0.0,694665223.1310802,0.4969378055338542,0.0,0.0,161551801.28369403,0.047437387935846356,0.0,0.0,253800000.0,0.0
53972506.18695759,0.0,836508207.0270178,0.867701825175031,0.0,0.0,0.0,0.0,0.0,0.0,253800000.0,0.0
53972506.18695759,0.0,20154598.92942422,0.029373505314789917,38625184.11166029,0.10475113219646524,56522727.494835585,0.03931080986790299,0.0,0.0,253800000.0,0.0
53972506.18695759,0.0,1118000908.6054008,0.846460199704532,0.0,0.0,0.0,0.0,4698554.820673588,0.003720180025453877,253800000.0,0.0
