,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,136598613.0637709,0.0,203340262.6004279,0.003327729191129669,135070190.47831333,0.0,32493609.617123798,0.0010455505213898513,94338185.77629063,0.0,1779400000.0,3786.2778799029797
1,136598613.0637709,0.0,183141773.3265683,0.00027206802316738255,135070190.47831333,0.0,14434173.755396105,1.5066095490779756e-05,94338185.77629063,0.0,1779400000.0,143.63354511884776
2,136598613.0637709,0.0,182305368.85226318,0.00012761716969025488,135070190.47831333,0.0,14261651.781499248,0.0,94338185.77629063,0.0,1779400000.0,57.776001982606076
3,136598613.0637709,0.0,181582300.45751143,0.0,135070190.47831333,0.0,15340040.971834557,5.806702312692221e-05,94338185.77629063,0.0,1779400000.0,78.66018382882936
4,136598613.0637709,0.0,193351199.68835056,0.0013193337744725714,135070190.47831333,0.0,14261651.781499248,0.0,94338185.77629063,0.0,1779400000.0,619.6409383647585
5,136598613.0637709,0.0,181582300.45751143,0.0,135070190.47831333,0.0,14544063.58450079,1.6954312528845103e-05,94338185.77629063,0.0,1779400000.0,19.111963902094423
6,136598613.0637709,0.0,181582300.45751143,0.0,135070190.47831333,0.0,14261651.781499248,0.0,94338185.77629063,0.0,1779400000.0,0.0
7,136598613.0637709,0.0,181804776.60269284,2.5739949261333772e-05,135070190.47831333,0.0,17991937.83528379,0.00019911396211564177,94338185.77629063,0.0,1779400000.0,283.9830363909698
8,136598613.0637709,0.0,181582300.45751143,0.0,135070190.47831333,0.0,19032159.28532494,0.00024318618561917655,94338185.77629063,0.0,1779400000.0,355.3872065840575
9,136598613.0637709,0.0,186430603.2126534,0.000545826584009629,135070190.47831333,0.0,16351372.642260546,0.00010861615428547644,141357399.9385203,0.0054833389564129045,1779400000.0,3734.6497332598055
10,136598613.0637709,0.0,181582300.45751143,0.0,135070190.47831333,0.0,14636555.012095409,1.764075502827682e-05,99411964.15086387,0.0005668065947311463,1779400000.0,337.81557112295604
11,136598613.0637709,0.0,181582300.45751143,0.0,135070190.47831333,0.0,14261651.781499248,0.0,94338185.77629063,0.0,1779400000.0,0.0
12,136598613.0637709,0.0,181582300.45751143,0.0,135070190.47831333,0.0,15554882.155792944,5.2411659637995305e-05,94338185.77629063,0.0,1779400000.0,73.60233320160559
