,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,EWS_DaysToThreat,scenario,policy,model,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
451,15,310.53868392546025,10.0,0.4583035795037176,326.7170164354118,1.5,0.5404803585492376,329.58837987277406,1.0,0.3996422495879736,282.59630196807103,10.0,0.5255010554651771,256.94339301513855,1.0,0.12361230276429125,4.5,1.5,2.5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,10,10,4,1,1,10,7,2,10,10,7,6,2,9,9,2,11,9,dikesnet,321888176.6351795,0.0,190549713.6537247,0.001038228888368937,122094886.35989553,0.0,62624166.80646288,0.0,191295036.3448668,0.006040943706985636,321100000.0,2613.1853628673907
452,125,203.26180075928858,1.5,0.9450554980777851,300.67254306632526,1.0,0.5874760595346658,238.66563000656737,1.5,0.26362400712625184,144.01214649904125,1.5,0.7731340392882234,291.6580105737909,10.0,0.46167493488263306,4.5,4.5,4.5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,10,10,4,1,1,10,7,2,10,10,7,6,2,9,9,2,12,9,dikesnet,321888176.6351795,0.0,189028942.01757622,0.0010483347389059934,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,308.7362481681823
453,80,119.11939819627099,1.5,0.33284686929553126,285.83709187380606,1.0,0.7340796397577415,158.22019504476947,10.0,0.8103177342372773,187.40037194202904,1.5,0.37553549243145234,144.97065302452592,1.0,0.296971270027979,2.5,1.5,2.5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,10,10,4,1,1,10,7,2,10,10,7,6,2,9,9,2,13,9,dikesnet,321888176.6351795,0.0,186628534.42074972,0.0003402117303010223,122094886.35989553,0.0,62624166.80646288,0.0,176505170.80362573,0.0020386356496164214,321100000.0,853.1314266265501
454,112,40.70480484532925,10.0,0.19696416947139198,187.5007104064448,10.0,0.2733862827345842,107.55140219716067,1.5,0.6588861781803251,94.84033044260939,1.0,0.9119169366784726,214.53654909974205,10.0,0.7461728733815786,2.5,2.5,4.5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,10,10,4,1,1,10,7,2,10,10,7,6,2,9,9,2,14,9,dikesnet,321888176.6351795,0.0,222339707.59185898,0.005235245806975531,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,1624.5215812497725
455,40,301.21273297847125,1.0,0.3860608923973887,226.14184932218836,1.5,0.7584780884269063,299.3319226819486,1.0,0.08653647386186779,64.16780088920038,1.0,0.6480074409735753,52.390241331556666,1.5,0.8773446053930825,2.5,4.5,2.5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,10,10,4,1,1,10,7,2,10,10,7,6,2,9,9,2,15,9,dikesnet,321888176.6351795,0.0,186642330.9737957,0.0003439653909327923,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,101.09912244020212
456,49,33.05401525888614,10.0,0.8879090078015506,182.22996904520994,1.0,0.7050216593424534,106.47607664004708,1.5,0.3198998123584157,179.026261491141,1.0,0.9615360848001132,181.06584007777684,10.0,0.5517902330763436,3.5,3.5,4.5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,10,10,4,1,1,10,7,2,10,10,7,6,2,9,9,2,16,9,dikesnet,321888176.6351795,0.0,186135681.6847669,0.00033773009028346984,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,100.41090410022393
457,117,170.82708196046357,10.0,0.4836375742046283,240.95478324892494,10.0,0.6818430392517557,143.2270725392365,1.0,0.8506435302623858,205.78239707539882,1.5,0.1841582313500408,147.79404129804644,1.5,0.7871985551517641,2.5,4.5,3.5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,10,10,4,1,1,10,7,2,10,10,7,6,2,9,9,2,17,9,dikesnet,321888176.6351795,0.0,189881339.99784932,0.000861141625229635,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,253.83899038474317
458,116,111.5490986596883,1.5,0.429820494465013,110.14095797507233,1.0,0.7928091900546608,83.8907923068519,10.0,0.21905846794289308,336.7716104338656,1.0,0.14474642458278997,324.49346419008214,1.5,0.9703860280797986,2.5,1.5,1.5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,10,10,4,1,1,10,7,2,10,10,7,6,2,9,9,2,18,9,dikesnet,321888176.6351795,0.0,185338074.3994338,0.00015695660822261532,122094886.35989553,0.0,62624166.80646288,0.0,161248381.36435187,0.0,321100000.0,46.22221009937852
459,57,102.12801718425264,1.0,0.5494319993064353,124.71603672446797,1.0,0.40690320293167975,58.29059278909395,1.0,0.43853117577376,33.208654452788544,10.0,0.2422918129337012,81.62323852646723,1.0,0.0035911752986827607,2.5,3.5,1.5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,10,10,4,1,1,10,7,2,10,10,7,6,2,9,9,2,19,9,dikesnet,321888176.6351795,0.0,197136874.38139465,0.0019450108673316165,122094886.35989553,0.0,62624166.80646288,0.0,425570967.7592051,0.03217042194095289,321100000.0,15293.985104160676
460,104,277.78804295648797,10.0,0.7147707917601973,99.04760569136974,10.0,0.9795342500300231,151.62372357252445,1.5,0.7254272200774691,87.09307316318896,1.5,0.6122208337425585,192.56395058129897,10.0,0.06388461380544402,1.5,4.5,4.5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,10,10,4,1,1,10,7,2,10,10,7,6,2,9,9,2,20,9,dikesnet,321888176.6351795,0.0,184240456.14366168,0.0,122094886.35989553,0.0,62624166.80646288,0.0,285699345.20564425,0.012516837477849367,321100000.0,4859.633165214675
