,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,EWS_DaysToThreat,scenario,policy,model,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
10,15,201.1334888979648,1.5,0.0239973420037149,59.58166234307487,1.5,0.718578660247327,201.1785034015353,10.0,0.710841019183888,176.05298581557713,10.0,0.6609143848105575,180.9349450323072,1.0,0.36084315959914837,3.5,1.5,3.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,20,0,dikesnet,177198159.8683943,0.0,201000771.1623937,0.00015979210065166855,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,73.60879610568564
11,113,329.6333368285771,10.0,0.814691746167493,347.955791202635,10.0,0.49312279898194955,344.8816185076755,1.0,0.9323060819371213,167.24489845160807,10.0,0.7211536543955486,160.9469826620336,10.0,0.6990471794640355,1.5,2.5,2.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,21,0,dikesnet,177198159.8683943,0.0,206682997.2472783,0.0005857752765063052,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,276.3894769549628
12,102,301.929681890541,1.5,0.8789872696401526,236.55357684701994,10.0,0.6720650989632806,285.591398583581,1.0,0.34892278876379335,177.6697595703803,1.5,0.21207448963959283,236.29455627709663,10.0,0.3290848573897319,2.5,1.5,4.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,22,0,dikesnet,177198159.8683943,0.0,201278472.89678743,0.00015807474668493173,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,73.31443280368084
13,118,259.8661740534234,1.5,0.40853913457011554,244.8384957985225,1.0,0.9090575102300396,242.14411083986369,1.0,0.4527344773151197,71.22646390517909,10.0,0.7032266765564374,205.08207573381958,10.0,0.5703859212663325,2.5,2.5,3.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,23,0,dikesnet,177198159.8683943,0.0,199881842.46915382,0.0,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,0.0
14,31,269.63852423268816,10.0,0.05374847589028124,326.4088689797058,1.0,0.8564422484745258,107.50484718636712,1.0,0.20298042121523463,246.67452197302538,1.5,0.4636848045641136,194.4734199862338,10.0,0.03320767049885012,4.5,4.5,1.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,24,0,dikesnet,177198159.8683943,0.0,199881842.46915382,0.0,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,0.0
15,60,222.50170739289516,1.5,0.6192366358262639,204.80127058042365,1.0,0.433222891323809,277.75958680071113,1.0,0.647426824337403,155.45204157637585,10.0,0.13694305542808877,230.55709247193576,1.0,0.9698050761893962,1.5,4.5,3.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,25,0,dikesnet,177198159.8683943,0.0,210998143.7126585,0.0009579738623244178,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,451.6725079076864
16,28,264.26517368613304,1.5,0.9780665198059609,334.43963971669524,1.5,0.7313120739928295,207.99687271409732,10.0,0.08921046330847805,136.23503513816075,1.5,0.9048495832776243,222.05695684312414,10.0,0.6510269704593908,2.5,1.5,1.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,26,0,dikesnet,177198159.8683943,0.0,201292481.66664913,0.00016112386585283696,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,73.83706751024408
17,98,290.93938392678933,1.0,0.7423464796325242,257.54539386430497,10.0,0.3484664086486548,34.91836755377297,10.0,0.3060350358231837,34.73639655724395,10.0,0.3708823175495178,311.92344329031897,1.0,0.07138373865186298,3.5,2.5,3.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,27,0,dikesnet,177198159.8683943,0.0,208573641.07178375,0.0012101453901101418,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,576.3131554048175
18,42,215.88133921936017,1.0,0.4677302705660982,150.11920568238114,1.5,0.6492515249958104,335.64162257842673,1.5,0.2984170231798108,232.41205987980817,10.0,0.22068881233614251,200.5011582801923,1.5,0.5905429157639167,4.5,3.5,3.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,28,0,dikesnet,177198159.8683943,0.0,201353393.16811633,0.0002550275720394059,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,118.26471233852828
19,72,133.99051401224926,10.0,0.5176578959545963,67.85969345448589,1.5,0.9304139090174558,133.18557400145772,1.0,0.556498881556318,288.6303892215046,10.0,0.9671103179163096,273.5166419841143,1.5,0.8473821279154709,3.5,1.5,1.5,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,6,3,4,1,4,9,9,1,4,8,7,9,7,9,10,3,29,0,dikesnet,177198159.8683943,0.0,199881842.46915382,0.0,105023344.73408368,0.0,64803197.063223675,0.0,210983503.7266794,0.0,1170600000.0,0.0
